iter	Passed	Remaining
476	654	717
477	655	715
478	656	713
479	657	712
480	658	710
481	660	709
482	661	707
483	662	706
484	663	704
485	664	702
486	665	701
487	666	699
488	667	697
489	668	695
490	669	694
491	670	692
492	671	690
493	672	688
494	674	687
495	675	686
496	676	684
497	677	683
498	678	681
499	679	679
500	680	677
501	681	676
502	682	674
503	683	672
504	684	670
505	685	668
506	685	667
507	686	665
508	687	663
509	688	661
510	690	660
511	691	659
512	692	657
513	693	655
514	694	654
515	695	652
516	696	650
517	696	648
518	697	646
519	698	644
520	699	643
521	700	641
522	701	640
523	702	638
524	704	637
525	705	635
526	706	634
527	707	632
528	708	630
529	709	629
530	710	627
531	712	626
532	713	624
533	714	623
534	715	621
535	715	619
536	716	617
537	717	616
538	720	615
539	721	614
540	722	613
541	723	611
542	724	610
543	726	608
544	727	607
545	728	605
546	729	604
547	730	602
548	731	601
549	732	599
550	733	597
551	736	597
552	737	595
553	738	594
554	739	593
555	740	591
556	741	589
557	742	588
558	743	586
559	746	586
560	748	585
561	750	584
562	751	583
563	752	581
564	753	580
565	754	578
566	755	577
567	757	575
568	758	574
569	758	572
570	759	570
571	760	569
572	761	567
573	762	565
574	763	564
575	765	563
576	766	561
577	767	560
578	768	558
579	769	557
580	770	555
581	771	554
582	772	552
583	773	550
584	774	549
585	775	547
586	776	546
587	776	544
588	777	542
589	779	541
590	780	540
591	781	538
592	782	537
593	783	535
594	784	534
595	785	532
596	786	530
597	787	529
598	788	527
599	789	526
600	790	524
601	790	522
602	791	521
603	792	519
604	794	518
605	795	517
606	796	515
607	797	514
608	798	512
609	799	511
610	800	509
611	801	508
612	802	506
613	803	505
614	804	503
615	805	502
616	806	500
617	807	499
618	810	498
619	811	497
620	813	496
621	814	494
622	815	493
623	817	492
624	818	491
625	820	490
626	821	488
627	823	487
628	826	487
629	827	486
630	829	484
631	830	483
632	832	482
633	833	481
634	835	480
635	836	478
636	838	477
637	840	476
638	841	475
639	843	474
640	844	473
641	846	471
642	847	470
643	849	469
644	850	468
645	851	466
646	853	465
647	855	464
648	857	463
649	858	462
650	859	461
651	861	459
652	862	458
653	863	457
654	865	455
655	866	454
656	868	453
657	870	452
658	872	451
659	873	450
660	875	448
661	876	447
662	877	446
663	878	444
664	880	443
665	881	442
666	883	441
667	885	439
668	887	438
669	888	437
670	889	436
671	891	434
672	892	433
673	893	432
674	895	431
675	897	429
676	898	428
677	901	428
678	903	426
679	904	425
680	905	424
681	907	422
682	908	421
683	909	420
684	911	419
685	913	417
686	915	417
687	917	416
688	919	414
689	920	413
690	922	412
691	924	411
692	925	409
693	926	408
694	928	407
695	932	407
696	933	405
697	935	404
698	936	403
699	937	401
700	939	400
701	940	399
702	941	397
703	942	396
704	944	395
705	946	394
706	948	393
707	950	392
708	952	390
709	953	389
710	955	388
711	956	386
712	957	385
713	959	384
714	960	382
715	962	381
716	964	380
717	965	379
718	966	377
719	968	376
720	969	375
721	970	373
722	971	372
723	973	370
724	974	369
725	976	368
726	978	367
727	979	365
728	980	364
729	981	363
730	983	361
731	984	360
732	986	359
733	988	358
734	991	357
735	993	356
736	994	354
737	995	353
738	997	352
739	1000	351
740	1001	350
741	1002	348
742	1005	347
743	1007	346
744	1009	345
745	1010	344
746	1012	343
747	1014	341
748	1015	340
749	1017	339
750	1019	337
751	1021	336
752	1022	335
753	1023	334
754	1025	332
755	1026	331
756	1028	330
757	1029	328
758	1030	327
759	1032	326
760	1034	325
761	1036	323
762	1038	322
763	1039	321
764	1041	320
765	1043	318
766	1045	317
767	1046	316
768	1048	314
769	1050	313
770	1052	312
771	1054	311
772	1055	310
773	1057	308
774	1058	307
775	1059	305
776	1062	305
777	1064	303
778	1066	302
779	1068	301
780	1069	299
781	1071	298
782	1072	297
783	1073	295
784	1075	294
785	1076	293
786	1077	291
787	1079	290
788	1081	289
789	1083	288
790	1084	286
791	1085	285
792	1087	283
793	1088	282
794	1089	281
795	1091	279
796	1092	278
797	1093	276
798	1096	275
799	1098	274
800	1100	273
801	1102	272
802	1104	270
803	1106	269
804	1108	268
805	1111	267
806	1113	266
807	1115	265
808	1117	263
809	1119	262
810	1121	261
811	1124	260
812	1127	259
813	1128	257
814	1130	256
815	1132	255
816	1134	254
817	1137	252
818	1139	251
819	1141	250
820	1143	249
821	1145	248
822	1147	246
823	1150	245
824	1157	245
825	1159	244
826	1161	242
827	1163	241
828	1164	240
829	1166	238
830	1167	237
831	1170	236
832	1171	234
833	1173	233
834	1174	232
835	1175	230
836	1177	229
837	1178	227
838	1180	226
839	1181	224
840	1183	223
841	1185	222
842	1187	221
843	1188	219
844	1189	218
845	1191	216
846	1192	215
847	1194	214
848	1195	212
849	1197	211
850	1200	210
851	1201	208
852	1203	207
853	1204	205
854	1206	204
855	1207	203
856	1208	201
857	1209	200
858	1211	198
859	1212	197
860	1214	196
861	1217	194
862	1218	193
863	1220	192
864	1221	190
865	1223	189
866	1225	187
867	1226	186
868	1228	185
869	1229	183
870	1231	182
871	1233	181
872	1234	179
873	1236	178
874	1237	176
875	1238	175
876	1240	173
877	1241	172
878	1243	171
879	1245	169
880	1247	168
881	1248	166
882	1249	165
883	1250	164
884	1251	162
885	1253	161
886	1254	159
887	1255	158
888	1256	156
889	1257	155
890	1261	154
891	1262	152
892	1264	151
893	1265	150
894	1266	148
895	1267	147
896	1268	145
897	1270	144
898	1271	142
899	1272	141
900	1275	140
901	1277	138
902	1278	137
903	1279	135
904	1281	134
905	1282	133
906	1283	131
907	1284	130
908	1285	128
909	1286	127
910	1287	125
911	1289	124
912	1291	123
913	1292	121
914	1293	120
915	1294	118
916	1295	117
917	1296	115
918	1297	114
919	1298	112
920	1299	111
921	1300	109
922	1301	108
923	1302	107
924	1304	105
925	1305	104
926	1307	102
927	1308	101
928	1309	100
929	1310	98
930	1312	97
931	1313	95
932	1314	94
933	1315	92
934	1317	91
935	1319	90
936	1321	88
937	1322	87
938	1323	86
939	1325	84
940	1326	83
941	1327	81
942	1328	80
943	1329	78
944	1331	77
945	1332	76
946	1333	74
947	1334	73
948	1336	71
949	1336	70
950	1337	68
951	1338	67
952	1339	66
953	1340	64
954	1341	63
955	1342	61
956	1343	60
957	1344	58
958	1345	57
959	1345	56
960	1346	54
961	1347	53
962	1349	51
963	1350	50
964	1351	49
965	1352	47
966	1353	46
967	1354	44
968	1355	43
969	1356	41
970	1357	40
971	1358	39
972	1359	37
973	1360	36
974	1360	34
975	1362	33
976	1363	32
977	1365	30
978	1366	29
979	1367	27
980	1368	26
981	1369	25
982	1370	23
983	1371	22
984	1372	20
985	1373	19
986	1374	18
987	1375	16
988	1376	15
989	1377	13
990	1380	12
991	1381	11
992	1382	9
993	1383	8
994	1385	6
995	1386	5
996	1387	4
997	1388	2
998	1389	1
999	1390	0
